rainfallPrediction,alpha_0.5,numberOfTestExamples
0,26441,26575
1,2025,2163
2,976,874
3,276,317
4,132,130
5,123,89
6,68,46
7,51,29
8,32,22
9,36,13
10,17,3
11,26,8
12,17,7
13,16,5
14,53,5
15,6,1
16,7,2
17,7,1
18,5,0
19,6,1
20,6,2
21,6,3
22,1,2
23,3,0
24,4,2
25,2,0
26,2,0
27,2,0
28,19,2
29,6,2
30,3,0
31,1,0
32,1,1
33,1,1
34,1,0
35,0,0
36,321,132
37,229,340
38,213,190
39,119,203
40,203,105
41,190,230
42,129,180
43,194,102
44,321,103
45,100,110
46,100,200
47,200,100
48,300,1000
49,100,100
50,100,100
51,123,223
52,100,100
53,100,100
54,100,100
55,0,0
